 Td        ID        Tj        Df        Dd        Db
183       450       161         0        22        22
184       479       173         3         8        11
184      2143        53        24       107       131
184       483       173         4         7        11
184       347       117         4        63        67
186      2162        59        21       106       127
187      2315       108        28        51        79
187      2432       156        13        18        31
187      2108        45        14       128       142
187      2064        33         7       147       154
187      2331       114        26        47        73
187       448       160         3        24        27
188      2334       114        27        47        74
191      2136        51        17       123       140
191      2138        51        19       121       140
191      2299       100        28        63        91
191       500       189         0         2         2
191       501       189         0         2         2
191       505       190         0         1         1
192      2382       131        28        33        61
192      2447       160        24         8        32
192      4007       190         0         2         2
192       516       191         0         1         1
192       469       171         3        18        21
192       463       171         0        21        21
193      2212        78        12       103       115
193      2157        56        24       113       137
193       506       190         0         3         3
193       244        85        50        58       108
193       462       164         0        29        29
194      2398       135        28        31        59
194       488       187         0         7         7
194       358       121         0        73        73
194       264        92         0       102       102
195       257        89        21        85       106
196       175        63         0       133       133
196       323       112        20        64        84
197      2283        95        23        79       102
197      2128        49        17       131       148
197       507       190         0         7         7
197       437       159         0        38        38
198      2084        41         9       148       157
199      2471       172         0        27        27
199      2214        78        13       108       121
199      4011       199         0         0         0
199       321       108         4        87        91
199       322       108         4        87        91
199       302       106         4        89        93
199       451       161         3        35        38
199       394       135         4        60        64
199       312       107         4        88        92
199       363       121         5        73        78
199       409       142         4        53        57
199       250        86         4       109       113
199       275        94         4       101       105
199       361       121         5        73        78
199       371       122         5        72        77
199       455       161         4        34        38
199       382       131         4        64        68
199       467       171         3        25        28
199       478       173         3        23        26
199       289        98         4        97       101
199       350       117         4        78        82
199       235        82         3       114       117
199       325       112         7        80        87
199       385       131         5        63        68
199       316       108         8        83        91
199       364       121         5        73        78
199       399       135         5        59        64
199       360       121         5        73        78
199       342       115         4        80        84
199       337       115         4        80        84
199       211        78         7       114       121
199       343       115         4        80        84
199       384       131        10        58        68
199       408       142         4        53        57
199       461       164         4        31        35
199       272        93         4       102       106
199       243        85         4       110       114
199       284        95        10        94       104
199       310       107         4        88        92
199       293        98         4        97       101
199       335       114         8        77        85
199       397       135         5        59        64
199       353       119         4        76        80
199       446       160         3        36        39
199       412       142         4        53        57
199       413       142         4        53        57
199       214        78         4       117       121
199       236        82         3       114       117
199       317       108         4        87        91
199       283        95         4       100       104
199       411       142         4        53        57
199       421       150         4        45        49
199       300       100         9        90        99
199       346       117         9        73        82
199       259        89         4       106       110
199       241        85         8       106       114
199       334       114         3        82        85
199       396       135         9        55        64
199       215        78         4       117       121
199       181        67         5       127       132
199       260        92         9        98       107
199       240        85         3       111       114
199       473       172         3        24        27
199       466       171         3        25        28
199       225        81         3       115       118
199       180        67         9       123       132
199       372       130         4        65        69
199       416       146         5        48        53
199       440       159         3        37        40
199       150        55         4       140       144
199       294        98         0       101       101
199       296       100         0        99        99
199       288        98         1       100       101
199       308       106         0        93        93
199       295       100         1        98        99
199       311       107         0        92        92
199       319       108         0        91        91
199       326       112         0        87        87
199       357       119         0        80        80
199       352       119         2        78        80
199       370       122         0        77        77
199       377       130         0        69        69
199       386       132         2        65        67
199       392       132         0        67        67
199       389       132         0        67        67
199       375       130        12        57        69
199       425       150         0        49        49
199       423       150         2        47        49
199       418       146         0        53        53
199       433       156         0        43        43
199       457       164         0        35        35
199       444       160         0        39        39
199       441       159         0        40        40
199       439       159         0        40        40
199       447       160         0        39        39
199       426       150         0        49        49
199       472       172         0        27        27
199       481       173         0        26        26
199       434       156         0        43        43
199       422       150         3        46        49
199       471       172         7        20        27
199       362       121         0        78        78
199       355       119         2        78        80
199       494       188         0        11        11
199       490       187         0        12        12
199       519       199         0       199         0
200      2221        79         5       116       121
200      2227        81        41        78       119
200      2519       199         0         1         1
200      2367       122        77         1        78
200       486       187         0        13        13
201       484       187         0        14        14
201       485       187         0        14        14
201       498       189         8         4        12
202      2427       156         7        39        46
202      2232        82        45        75       120
202       359       121         0        81        81
