 Td        ID        Tj        Df        Dd        Db
126      2194        76         7        43        50
126       325       119         1         6         7
126       337       125         0         1         1
126       338       125         1         0         1
127      2174        67         0        60        60
128      2255        93         9        26        35
128      2156        64         0        64        64
128       336       124         1         3         4
128       355       128         0         0         0
128       345       127         0         1         1
128       330       124         0         4         4
128       263        96         0        32        32
128       278        98         0        30        30
128       256        93         0        35        35
128       296       111         0        17        17
128       239        91         0        37        37
128       259        93         0        35        35
128       268        97         0        31        31
128       300       111         0        17        17
128       257        93         0        35        35
128       267        97         0        31        31
128       275        98         0        30        30
128       270        97         0        31        31
128       291       110         0        18        18
128       289       110         0        18        18
128       304       114         0        14        14
128       303       114         0        14        14
128       217        82         0        46        46
128       273        97         0        31        31
128       280        98         1        29        30
128       214        82         0        46        46
128       218        83         0        45        45
128       223        83         0        45        45
128       224        83         0        45        45
128       301       111         2        15        17
128       227        85         1        42        43
128       212        82         0        46        46
128       226        85         1        42        43
128       237        87         2        39        41
128       238        87         1        40        41
128       211        82         0        46        46
128       221        83         0        45        45
128       308       114         0        14        14
128       235        87         0        41        41
128       228        85         0        43        43
128       234        87         0        41        41
128       216        82         0        46        46
128       225        85         0        43        43
128       108        47         0        81        81
128       230        85         0        43        43
128       232        87         0        41        41
128       233        87         0        41        41
128       202        77         0        51        51
128       105        46         0        82        82
128       253        93         0        35        35
128        29        15        18        95       113
128        25         9         0       119       119
128        86        39         3        86        89
128         8         5         0       123       123
128       287       107         0        21        21
128       286       107         0        21        21
128       282       107         1        20        21
128       290       110         0        18        18
128       351       128         0       128         0
129      2247        92        37         0        37
130      2183        71         7        52        59
130      2362       129         0         1         1
131       349       127         0         4         4
132      2163        65         7        60        67
132       346       127         0         5         5
133      2152        59         6        68        74
133      2211        82         6        45        51
133      2201        77         0        56        56
133       354       128         2         3         5
133       366       132         0         1         1
134      2269        97        14        23        37
134       353       128         0         6         6
135       385       135         0         0         0
135       344       127         0         8         8
136       352       128         0         8         8
136       363       129         0         7         7
137       379       135         0         2         2
137       373       134         0         3         3
137       377       134         0         3         3
137       376       134         0         3         3
137       372       134         0         3         3
137       381       135         0         2         2
137       362       129         0         8         8
138      2116        49         0        89        89
139       389       137         0         2         2
139       392       137         0         2         2
139       368       132         0         7         7
140       375       134         0         6         6
140       397       139         0         1         1
141      2197        77         7        57        64
141      2308       117        10        14        24
141      2309       117        11        13        24
141      2322       119        15         7        22
141       382       135         0         6         6
141       393       139         0         2         2
141       388       137         0         4         4
141       396       139         0         2         2
142       399       139         2         1         3
142       383       135         2         5         7
143       403       141         1         1         2
144      2317       118        11        15        26
144      2320       118        12        14        26
144      2177        68         2        74        76
145      2245        92        15        38        53
145      2424       145         0         0         0
145      2155        64         0        81        81
145       419       144         0         1         1
146      2144        55        10        81        91
146      2422       145         0         1         1
146      2250        92         0        54        54
147       426       145         0         2         2
147      2295       111         9        27        36
148      2300       111         9        28        37
148      2212        82        12        54        66
149      2263        96        14        39        53
149      2438       148         0         1         1
149       432       147         0         2         2
149       430       147         0         2         2
150       436       148         0         2         2
150      2153        59         7        84        91
150      2273        98        14        38        52
150       433       147         0         3         3
151      2278        98        15        38        53
151      2314       117         0        34        34
151      2253        93         0        58        58
151      2305       114         0        37        37
151       435       148         0         3         3
152      2279        98        15        39        54
152      2319       118         0        34        34
152       418       144         0         8         8
153      2086        39         6       108       114
153       442       152         0         1         1
153       438       148         0         5         5
155      2193        76         6        73        79
155      2222        83         7        65        72
155      2154        64         3        88        91
155      2261        96        23        36        59
155      2448       154         0         1         1
156      2223        83         7        66        73
156      2238        91         7        58        65
156       458       156         0         0         0
158      2348       127        13        18        31
158      2355       128        13        17        30
158       466       158         0         0         0
158       357       128         1        29        30
158       369       132         0        26        26
158       391       137         0        21        21
158       411       142         0        16        16
158       394       139         0        19        19
158       334       124         2        32        34
158       434       147         0        11        11
158       408       142         0        16        16
158       359       129         1        28        29
158       365       132         0        26        26
158       360       129         1        28        29
158       414       144         0        14        14
158       348       127         0        31        31
158       370       132         0        26        26
158       374       134         0        24        24
158       367       132         0        26        26
158       395       139         0        19        19
158       412       142         0        16        16
158       328       119         1        38        39
158       310       117         0        41        41
158       342       125         0        33        33
158       404       141         1        16        17
158       398       139         0        19        19
158       356       128         1        29        30
158       384       135         1        22        23
158       312       117         0        41        41
158       314       117         0        41        41
158       318       118         0        40        40
158       332       124         0        34        34
158       316       118         0        40        40
158       302       114         0        44        44
158       324       119         0        39        39
158       313       117         0        41        41
158       327       119         0        39        39
158       298       111         0        47        47
158       343       125         0        33        33
158       358       129         0        29        29
158       364       129         0        29        29
158       386       137         0        21        21
158       390       137         0        21        21
158       387       137         0        21        21
158       380       135         0        23        23
158       400       141         0        17        17
158       463       158         0       158         0
159       453       154         0         5         5
159       452       154         0         5         5
159       455       154         0         5         5
160      2226        85         8        67        75
160       445       152         0         8         8
160       468       158         0         2         2
160       439       148         0        12        12
160       449       154         0         6         6
161       447       152         0         9         9
161       416       144         0        17        17
161       428       147         1        13        14
161       431       147         0        14        14
162       421       145         0        17        17
162       444       152         0        10        10
162       425       145         0        17        17
163       401       141         0        22        22
163       410       142         0        21        21
163       407       142         0        21        21
163       413       142         0        21        21
164      2158        64         7        93       100
164      2234        87         7        70        77
164      2343       127         0        37        37
164       441       148         0        16        16
164       422       145         0        19        19
165      2148        59         6       100       106
165       415       144        18         3        21
166      2133        53         6       107       113
166       473       164         0         2         2
167       480       166         0         1         1
169      2333       124        12        33        45
169      2456       156        12         1        13
169       485       168         0         1         1
169       481       166         0         3         3
170       471       164         0         6         6
170       464       158         0        12        12
170       429       147         0        23        23
170       437       148         1        21        22
170       446       152         0        18        18
170       440       148         1        21        22
170       427       145         0        25        25
170       448       152         0        18        18
170       459       156         0        14        14
170       457       156         0        14        14
170       450       154         0        16        16
170       456       156         0        14        14
170       469       158         0        12        12
170       451       154         0        16        16
170       443       152         0        18        18
170       492       170         0       170         0
171      2302       114        10        47        57
171       472       164         0         7         7
172      2200        77        11        84        95
172       483       166         0         6         6
172       497       170         0         2         2
173      2170        67         8        98       106
173       467       158         0        15        15
173       423       145         0        28        28
174       347       127         0        47        47
175      2496       170         0         5         5
175       350       127         0        48        48
175       371       132         0        43        43
176      2241        91         0        85        85
176       333       124         0        52        52
176       484       168         1         7         8
177      2311       117        11        49        60
177      2256        93         9        75        84
177       496       170         0         7         7
178      2359       129        14        35        49
178      2413       144        16        18        34
178       502       177         0         1         1
178       465       158         8        12        20
179      2316       118        11        50        61
179       500       177         0         2         2
179       499       177         0         2         2
179       477       166         0        13        13
180      2204        78         7        95       102
180       505       179         0         1         1
180       506       179         0         1         1
180       405       141         0        39        39
180       462       156         0        24        24
181       510       179         0         2         2
181       507       179         0         2         2
181       504       177         0         4         4
181       460       156         5        20        25
181       402       141         0        40        40
181       461       156         6        19        25
181       409       142         0        39        39
182       508       179         0         3         3

Battle result: Loss
The battle ended at Timestep: 183
For Earth Army:
Total Number of Each Units:
Earth Soldiers: 217
Earth Gunneries: 114
Earth Tanks: 173
Heal Units: 7

